76.2   156.8    3398
71.3   114.1    2988
69.6   142.6    3048
58.0   142.6    2781
74.6   142.6    2912
68.9   128.3    3135
69.1   142.6    3261
62.1   156.8    3030
68.7   128.3    3139
65.4   142.6    2996
70.4   128.3    3248
69.1   142.6    3117
63.7   142.6    2891
62.1   114.1    2667
73.5   142.6    3403
61.3   129.4    2999
70.1   137.5    3318
79.8   121.3    2989
61.3   129.4    2936
64.8   137.5    3020
60.2   129.7    2812
72.4    97.1    2962
68.9   129.4    3236
70.1   129.4    3214
70.8   161.7    3389
66.5   129.4    2908
66.7   137.5    3063
71.2   129.4    2956
72.4   145.6    3023
69.3   129.4    3001
67.4   145.6    2841
69.6   161.7    3117
66.2   121.3    2733
74.5   121.3    2808
67.7    97.1    2813
57.5    97.1    2615
70.4   113.2    2814
